id,text,option1,option2,option3
10020010,在戰鬥中，能量對戰姬的幫助很大，不過以下哪個說法有明顯的問題呢？,能量達到100點後，戰姬在行動時將會釋放主動技能,能量超過100點時，每溢出1點按1%的技能傷害率提高本次技能的傷害,在戰姬普通攻擊時，可以獲得能量。戰姬被攻擊時，將失去50點能量
10020011,在戰鬥中，速度對戰姬的幫助很大，不過以下哪個說法有明顯的問題呢？,速度決定每回合戰姬的行動順序。速度越快，行動越快,戰鬥的同一方內，如果兩個戰姬速度相同，位置（上陣排序）靠前的戰姬先行動,戰鬥的雙方，如果有兩個戰姬速度相同，防守方的戰姬先行動
10020012,探秘舊校舍的過程中，學長可以選擇許多種探索方案。關於探索方案的說法有很多，不過以下哪個說法有很明顯的錯誤呢？,探索方案會提高探索過程的難度。在挑戰成功後，探索方案能讓學長獲得更多積分,部分探索方案由於比較特殊，需要學長獲得一定積分之後才能解鎖,選定探索方案並通過一層後，就無法再次挑戰這一層的關卡，也不能重新選擇探索方案
10020013,在戰姬覺醒到10星之後，學長可以繼續提升戰姬的技能，讓戰姬走向精英之路。學長知道在哪裡升級戰姬的精英技能嗎？,只要戰姬達到10星，就能在戰姬詳情介面中升級戰姬的精英技能,在商店街的福利社中，花費鑽石可以升級戰姬的精英技能,與戰姬誓約，就可以升級這位戰姬的精英技能
10020014,參與探秘舊校舍活動，可以獲得極其珍貴的材料。學長知道在哪裡可以參與探秘舊校舍活動嗎？,在商店街中可以找到舊校舍的入口,在上頂樓功能中可以找到舊校舍的入口,扭蛋介面中可以找到舊校舍的入口
11050001,在學院招生儀式上，擔任修羅學院考核官的同學是誰？,呂布,路西法,郭嘉
11050002,修羅學院中，有一位同學雖然外表冷艷，但平日卻會喜歡宅在屋裡，甚至需要米迦勒掀被子才能起床，她是誰？,伊邪那美,呂布,路西法
11050003,修羅學院中，有一位孤傲而神秘的同學，曾經歷過無數戰爭與背叛，作為最初的女武神被大家敬畏著。她是誰？,伊邪那美,郭嘉,呂布
11050004,修羅學院中，有一對特殊的姐妹，一位為天使，另一位為惡魔，她們如同光暗一樣相互依存，她們是？,以掃&雅各,路西法&米迦勒,呂布&伊邪那美
11050005,修羅學院中，有一位同學身為惡魔卻想要成為頂級的偶像，她的歌聲中帶有神奇的魔力，可以操縱人心，她是誰？,呂布,阿帕忒,郭嘉
11050006,修羅學院中，有一位同學因混沌的侵蝕，而在臉上留下了紫色的結晶，也因此被人們當做邪惡的死神，她是誰？,伊邪那美,阿帕忒,呂布
11050007,經歷過無數災難與背叛，如今的呂布似乎無比孤獨。但有一位戰姬，不管呂布怎樣對待她，她始終留在呂布身邊，奉呂布為主人。她是誰？,諸葛亮,呂玲綺,曹操
11050008,在學園遇見喪失了理智、正在咆哮的芬里爾，如果是呂布同學的話，她可能會怎麼做？,嘗試勸說芬里爾冷靜下來，卻被這個不講理的傢伙嚇得瑟瑟發抖，趕緊逃走,站在原地，釋放出強大的殺意，讓芬里爾冷靜下來，或是與她大戰一場，耗盡她的力量。,猶豫一會，決定用全力來挑戰芬里爾，嘗試讓她冷靜下來。
11050009,在學園遇見喪失了理智、正在咆哮的芬里爾，如果是主線劇情中的以掃與雅各同學的話，她們可能會怎麼做？,姐姐以掃把妹妹雅各推到前面，吸引芬里爾的注意，自己連忙逃走。,姐姐以掃把妹妹雅各的眼睛蒙上，裝作沒看見這個嚇人的傢伙，繞路走開。,本打算繞路走開，想到芬里爾可能會傷害到無辜的同學，以掃與雅各決定聯合起來打倒芬里爾
11050010,學園中有許多社團，精彩的社團活動吸引著興趣各異的戰姬們。如果是路西法同學的話，她可能會對哪個社團感興趣？,晨讀社。珍惜時間，早起讀書！,足球社。青春有限，出門揮灑熱血！,午睡社。在被窩裡享受人生吧！
11050011,學園中有許多社團，精彩的社團活動吸引著興趣各異的戰姬們。如果是伊邪那美同學的話，她可能會對哪個社團感興趣？,康復社。為混沌事件受害者提供康復訓練，也許能找回曾經失去的東西。,演藝社。在公開的舞台上展示自己的才藝，感動所有人！,綠色生活社。這裡禁煙禁酒禁吃肉。
11050012,學園中有許多社團，精彩的社團活動吸引著興趣各異的戰姬們。如果是阿帕忒同學的話，她可能會對哪個社團感興趣？,棒球社。來和夥伴們一起拼命吧！,偶像社。成為偶像，拯救世界吧！,文學社。儒雅隨和，真心待人。
11050013,戰姬秘事：阿帕忒身上有一條神秘的小蛇，名為厄菲。以下哪個地點，是阿帕忒與這隻小蛇第一次見面的地方呢？,阿帕忒第一次用歌聲支配他人時所登上的舞台。,受不了阿帕忒謊言的人們將阿帕忒關入的陰冷地下。,阿帕忒宿舍的床底下。
11050014,戰姬秘事：學園中見到呂布小姐時，她常常保持著溫柔的微笑，卻又顯得拒人於千里之外。以下哪位戰姬，也許在呂布心中佔據著最重要的位置呢？,不論自己如何傷害她、遠離她、警告她，仍然年復一年追隨呂布的人──呂玲綺,這位戰姬在心懷執念而陷入困境的時刻，呂布向她伸出了援手──伊邪那美,百年前的混沌戰爭中，哪怕離開過去的盟友，放棄眼前的戰鬥，呂布也必須要拯救的人──圖靈
12050001,伊邪那美同學的主動技能可以為友方全體施加抵消傷害的護盾，以下哪個魂器最適合伊邪那美呢？,命運魂晶（增加初始能量、攻擊、血量）,荊棘之心（增加攻擊力、暴擊率、暴擊傷害）,都市幻想（增加攻擊力、速度、增控率）
12050002,阿帕忒擁有復活的能力。場上有戰姬死亡時，還會額外提前阿帕忒復活的時間。以下哪個戰姬的能力和阿帕忒最搭配，可以讓阿帕忒更早地復活？,諸葛亮（具有恢復生命的能力）,米迦勒（具有兩條生命）,司馬昭（具有降低目標能量的能力）
12050003,在戰鬥時，每次有任意戰姬死亡，以掃&雅各會對敵方全體造成大量傷害。以下哪位戰姬的能力和以掃&雅各最搭配，可以讓以掃&雅各造成更多傷害呢？,芬里爾（通過格擋可以造成大量傷害）,華佗（具有死亡後恢復友方生命的能力）,阿帕忒（具有復活的能力）
12050004,少量戰姬具有特別的能力，可以按照敵人血量的百分比造成傷害。下面哪位戰姬擁有這種能力呢？,以掃&雅各,路西法,郭嘉
12050005,戰鬥時，能量達到100點後，戰姬在行動時可以釋放主動技能。而少量戰姬具有特別的能力，可以降低敵人的能量，來讓敵人無法釋放主動技能。下面哪位戰姬擁有這種能力呢？,伊邪那美,阿帕忒,呂布
10010033,聊天頻道中遇到廣告宣傳、虛假訊息的情況，下面哪個做法最適合呢？,和發佈這些訊息的人私聊，也許可以反過來愚弄他們一次,點擊聊天框後選擇「舉報」，或者向GM投訴,相信這些內容，並去嘗試，說不定能撈到好處。
10010034,選單的收藏介面中可以看到諸如造型等具有特殊意義的物品。不過下面哪些物品無法在收藏介面中找到呢？,戰姬的造型,魂器,戰鬥的記錄
10020020,下面哪些效果不屬於負面效果呢？,減傷率提高、暴擊率提高……,流血、燃燒、中毒……,暈眩、石化、結晶……
10020021,在戰鬥中，戰姬的“精準”屬性有什麼作用呢？,抵消攻擊目標的護甲。數值越高，抵消的護甲越多,降低自身攻擊被閃避的機率,降低自身攻擊被格擋的機率，同時每1%精準增加0.3%傷害（最高增加45%，僅對基於攻擊力的傷害有效）
10020022,在戰鬥中，戰姬的“免控率”屬性有什麼作用呢？,免控率越高，越有可能免於被敵人施加流血等持續性傷害,免控率越高，越有可能免於被敵人施加控制效果,免控率越高，越有可能免於被敵人施加印記效果
10020023,在戰鬥中，戰姬的“格擋”屬性有什麼作用呢？,格擋敵人攻擊的機率，格擋成功則會降低受到的傷害,降低自身被暴擊的機率,降低自身收到的技能傷害
10020024,戰姬覺醒到10星之後，可以透過突破來繼續提高等級上限。突破後，戰姬將會得到新的潛能。潛能具有下面哪個功能呢？,提升角色的格擋、暴擊、免控率,受到致死傷害時獲得免疫傷害的護盾,戰鬥第一回合，額外獲得50能量
10020025,戰姬覺醒到10星之後，可以透過突破來繼續提高等級上限。突破後，戰姬將會得到新的潛能。潛能具有下面哪個功能呢？,對職業為戰士的敵人造成額外的傷害,免疫暈眩、石化等控制效果,每回合結束，隨機清除自身一種負面效果
10020026,校外遠足中的「許願樹」與「市集」可以源源不斷地為學長提供珍貴的資源。學長知道這兩個建築分別可以產出哪些資源嗎？,禮物盒與家具幣,鑽石與金幣,便當與經驗飲料
10020027,校外遠足中的大本營可以為戰姬提供諸如血量、攻擊力之類的加成。大本營還可以提供下面哪種加成呢？,暴擊抵抗，減少自身被暴擊的機率,破甲值，抵消攻擊目標的護甲值,減傷率，降低受到的傷害
10020028,校外遠足中，隨著探險等級的提升，會有更高機率獲得高級寶箱。關於探險等級，下面哪個說法有誤呢？,隨著探險等級的提升，探險時遇到的敵人實力也會變強,隨著探險等級的提升，可容納寶箱的槽位也會增多,隨著探險等級的提升，探險所消耗的麵包數量會大量增加
10020029,綺幻手冊中，收集殘頁可以提升手冊等級，來獲取大量獎勵。學園裡有許多收集殘頁的方法，不過下面哪個做法無法收集殘頁或提升手冊等級呢？,完成手冊的每日、每週任務,在商店街的福利社中可以購買大量殘頁,在綺幻手冊介面中，使用鑽石立刻提升手冊等級
11030001,在學院招生儀式上，擔任風見學院考核官的同學是誰？,圖靈,織田信長,黃月英
11030002,黃月英同學的寵物是一隻小狗。學長知道這隻小狗的名字叫什麼嗎？,巴魯,阿喵,旺財
11030003,風見學院中，有一位學妹平日裡身穿緊身的戰鬥服，手持魔導狙擊槍，似乎常常露出很想睡的樣子。她是誰？,魏延,稀風,王異
11030004,風見學院中，魏延同學曾經因為被同伴背叛，而失去了一隻手臂。在哪兩位同學的幫助下，讓魏延獲得了一隻義肢呢？,芬里爾與坂本龍馬,諸葛亮與華佗,劉備與曹操
11030005,魏延同學屬於風見學院。學長還記得，在開學典禮後，是誰陪著魏延參加各個分院考核的呢？,呂蒙與學長,織田信長與曹操,諸葛亮與許褚
11030006,戰姬祕事：圖靈曾經是一位沒有感情的AI。在主線劇情中，是哪一位戰姬歷經險阻，甚至傷害了學園的其他同學，只為讓圖靈得到感情呢？,諸葛亮,呂布,坂本龍馬
11030007,戰姬祕事：曾經的稀風並不具有使用風的能力。在某次生命垂危時，稀風遇到了一位神祕的人。稀風因她而起死回生，也因此掌握了控制風的力量。學長知道這個神祕的人物是誰嗎？,魯班,呂布,克瑞絲
11030008,戰姬祕事：王異身上的武器裝備，是由一位神祕人物製造的。這套裝備會消耗非常多的魔力，也因此讓王異看起來總是很睏的樣子。學長知道研製這套武器裝備的人物是誰嗎？,坂本龍馬,魯班,諸葛亮
11030009,黃月英的寵物巴魯闖了大禍，偷偷吃掉了學長的許多使魔餅乾。如果照皮皮洛同學的個性，她可能會怎樣替學長教訓巴魯呢？,她也許會十分憤怒，懲罰巴魯一個月內不准吃骨頭,她也許會嚴厲地指責巴魯，讓巴魯不可以再犯錯,她也許會象徵性地撓一撓巴魯，然後偷偷給巴魯餵好吃的，鼓勵巴魯再接再厲
11030010,黃月英的寵物巴魯闖了大禍，偷偷吃掉了學長的許多使魔餅乾。如果照圖靈同學的個性，她可能會怎樣替學長教訓巴魯呢？,她也許會認真地向巴魯比劃，嘗試向巴魯解釋，這個世界上有些東西是不可以亂吃的,她也許會生氣地用小熊錘子懲罰巴魯，讓巴魯永遠記住今天的錯誤,她也許會非常地不開心，接著對巴魯大吼大叫，直到自己氣消了為止
11030011,黃月英的寵物巴魯闖了大禍，偷偷吃掉了學長的許多使魔餅乾。如果照魏延同學的個性，她可能會怎樣替學長教訓巴魯呢？,她也許會非常憤怒地把巴魯抓起來，想要為學長討回一些沒嚥下肚的使魔餅乾。,她很擔心學長的心情，又很理解巴魯想吃東西的心情，最後只能向諸葛亮學姐請教獲得使魔餅乾的辦法,她也許會在學長剩下的使魔餅乾裡放許多辣椒，如果巴魯敢再犯，就能給它一個教訓
11030012,黃月英的寵物巴魯闖了大禍，偷偷吃掉了學長的許多使魔餅乾。如果照黃月英同學的個性，她可能會怎樣替學長教訓巴魯呢？,她也許會認為這樣的寵物不要也罷，於是把巴魯趕出學園,她也許會對巴魯很生氣，不過最後還是眼巴巴地望向學長，希望學長原諒巴魯,她也許會當著巴魯的面，把巴魯最喜歡的零食全部沒收
12030001,風見學院中，有一位戰姬的主動技能會對敵人附加陰陽印記，提高該戰姬對敵人的傷害。如果擁有多個該戰姬，讓陰陽印記不斷疊加，可以造成強悍的輸出效果。學長知道這位戰姬是誰嗎？,左慈,稀風,圖靈
12030002,風見學院中，「青羽蛻夢·魏延」同學可以在任意角色被暈眩時，對敵人按血量百分比造成傷害。學長覺得下面哪位戰姬最適合與「青羽蛻夢·魏延」搭配呢？,黃月英（殘血後有大機率讓敵人暈眩）,巴妮拉（對敵人造成冰凍、石化、中毒效果）,華佗（自身死亡後恢復己方戰姬生命）
12030003,風見學院中，王異同學可以降低敵人的格擋率，並對處在流血狀態的敵人造成大量傷害。學長覺得下面哪位戰姬最適合與王異搭配呢？,龐統（讓血量高於自己的敵人暈眩）,漢獻帝（對生命低於自己的敵人按血量百分比造成大量傷害）,芬里爾（主動技能讓敵人進入流血狀態）
12030004,風見學院中，皮皮洛同學具有十分特殊的能力。敵人身上的負面效果種類越多，皮皮洛造成傷害越多。學長覺得讓皮皮洛與下面哪些戰姬經過合理搭配後，最有可能讓皮皮洛發揮出強大的潛力呢？,劉備、薇拉、呂蒙、華佗、銀月,路西菲爾、稀風、黃月英、龍胤·曹操、薇薇安,阿帕忒、坂本龍馬、米迦勒、諸葛亮、郭嘉
12030005,風見學院中，「青羽蛻夢·魏延」同學可以在任意角色被暈眩時，對敵人按血量百分比造成傷害。學長覺得下面哪個魂器最適合「青羽蛻夢·魏延」呢？,都市幻想（提升攻擊、速度、增控率）,雙生魔杖（提升攻擊、速度、格擋）,金輝之翼（提升精準、攻擊、技能傷害率）
12030006,風見學院中，稀風同學具有提高己方戰姬速度的能力。學長覺得下面稀風最適合輔助下面哪一類戰姬呢？,戰鬥越持久越強力的戰姬，如呂布、凡赫辛、王異,主要依靠反擊或格擋敵人來造成傷害的戰姬，如芬里爾、張飛、圖靈,先出手往往有更好效果的戰姬，如薇薇安、伊邪那美、阿帕忒
12030007,風見學院中，漢靈帝同學在戰鬥中死亡後，可以讓敵方全體進入中毒狀態。學長覺得下面哪位戰姬最適合與漢靈帝搭配呢？,孫尚香（對中毒的敵人造成額外傷害）,偃月（對戰士職業的敵人造成額外傷害）,司馬昭（使敵人石化並可以偷取能量）
11040001,在學院招生儀式上，擔任曇華學院考核官的同學是誰？,田豐,諸葛亮,呂蒙
11040002,按照諸葛亮同學在分院考核上的說法，曇華學院最歡迎有著以下哪種特質的同學加入？,正直,獨立,聰慧
11040003,曇華學院中的哪位同學看起來像一朵可愛的蘑菇？,田豐,劉備,祝融
11040004,你回到房間，發現房間被打掃得整整齊齊，可能是哪位同學做的？,赤蓮,呂蒙,薇拉
