id,title,desc
20302,冰淇淋車-2,選什麼霜淇淋呢？
20303,冰淇淋車-3,說話的間隙，鄧艾手上的霜淇淋已經被太陽曬化了，滴落在了手掌上，怎麼辦呢？
20401,過山車-1,鄧艾看起來並不是很想去坐過山車，該怎麼辦呢？
20402,過山車-2,要怎麼勸鄧艾不再坐過山車呢？
20403,過山車-3,想要鄧艾做什麼來補償呢？
20501,鬼屋-1,面對陌生學妹的邀請，要怎麼做呢？
20502,鬼屋-2,雖然嘴上說著不害怕，但鄧艾顫抖的身體依舊出賣了她，要怎麼做呢？
20503,鬼屋-3,需要購買特別表演嗎？
20601,服裝店-1,該怎麼回復呢？
20602,服裝店-2,鄧艾看起來不太喜歡你挑選的衣服呢，要怎麼辦呢？
20603,服裝店-3,哪件衣服更適合鄧艾呢？
20701,貓咪咖啡廳-1,該怎麼辦呢？
20702,貓咪咖啡廳-2,想要選哪只貓咪呢？
20703,貓咪咖啡廳-3,是否要購買套餐？
20801,英式茶餐廳-1,想要坐在哪裡呢？
20802,英式茶餐廳-2,該挑選什麼餐品呢？
20803,英式茶餐廳-3,如何回答呢？
20901,鮮花店-1,面對鄧艾的拒絕，要怎麼辦呢？
20902,鮮花店-2,面對陌生學妹送來的花束，要怎麼辦呢？
20903,鮮花店-3,難得鄧艾有興致，猜猜看她最喜歡哪類花吧。
21001,歇腳處-1,該怎麼回答呢？
21002,歇腳處-2,該怎麼辦呢？
21003,歇腳處-3,不同於往常的嚴肅，此刻的鄧艾仿佛願意吐露更多心聲，要怎麼答話呢？
21101,蘋果糖攤-1,因為說了這句話，兩人周圍的氣氛稍稍變得有些奇怪，要怎麼緩解呢？
21102,蘋果糖攤-2,咬了一口蘋果糖後，要怎麼描述品嘗到的滋味呢？
21103,蘋果糖攤-3,鄧艾的嘴角沾染上了鮮紅的糖漿，要不要告訴她呢？
21201,花火大會-1,要怎麼回答呢？
21202,花火大會-2,該怎麼辦呢？
21203,花火大會-3,要去哪裡看花火呢？
21301,章魚燒攤-1,選什麼口味的章魚燒呢？
21302,章魚燒攤-2,章魚燒攤位上可以自己調配口味，要怎麼做呢？
21303,章魚燒攤-3,只剩最後一粒章魚燒了，要怎麼辦呢？
21401,刨冰攤-1,要怎麼辦呢？
21402,刨冰攤-2,該選什麼口味呢？
21403,刨冰攤-3,要怎麼做呢？
21501,套圈遊戲-1,鄧艾看起來對套圈遊戲很感興趣的樣子，要怎麼做？
21502,套圈遊戲-2,看起來鄧艾套圈失敗了，要怎麼幫她呢？
21503,套圈遊戲-3,鄧艾看起來想要把小熊雕像送給學長，要怎麼做呢？
30101,湖邊談話-1,該怎麼回答呢？
30102,湖邊談話-2,再這樣下去，一定會招惹更多的蚊蟲，要怎麼辦呢？
30103,湖邊談話-3,要怎麼回答？
30201,划船-1,諸葛亮到底在做什麼？要跟過去看一看嗎？
30202,划船-2,握著船槳，該往哪個方向前進呢？
30203,划船-3,像這樣輕鬆愜意的時光要做些什麼呢？
30301,野餐-1,選擇去哪裡野餐？
30302,野餐-2,下麵哪道甜品最滿意呢？
30303,野餐-3,要幫忙諸葛亮一起收拾嗎？
30401,放風箏-1,目前的天氣好像沒那麼適宜放風箏，要怎麼辦呢？
30402,放風箏-2,要選哪一隻風箏呢？
30403,放風箏-3,諸葛亮看起來陷入風箏難題了，要怎麼幫她呢？
30501,下棋-1,要同意諸葛亮參與象棋對局嗎？
30502,下棋-2,諸葛亮好像在向你求助，要怎麼做呢？
30503,下棋-3,面對學妹的力邀，要怎麼應付呢？
30601,扇子店-1,要詢問老闆娘關於諸葛亮什麼方面的問題？
30602,扇子店-2,該選哪一把扇子呢？
30603,扇子店-3,需要購買扇子配件嗎？
30701,歇腳處-1,該怎麼回答呢？
30702,歇腳處-2,該怎麼辦呢？
30703,歇腳處-3,該怎麼回答呢？
30801,貓咪咖啡廳-1,面對自稱非常熟悉的奇怪店員，要怎麼辦呢？
30802,貓咪咖啡廳-2,想要選哪只貓咪呢？
30803,貓咪咖啡廳-3,需要延長貓咪陪伴時間嗎？
30901,書店-1,該怎麼回答呢？
30902,書店-2,要選擇什麼樣的書目呢？
30903,書店-3,諸葛亮趴在吧臺上睡著了，要怎麼辦呢？
31001,電玩店-1,面對諸葛亮的請求，要怎麼辦呢？
31002,電玩店-2,該怎麼回復呢？
31003,電玩店-3,誰去抽取獎品呢？
31101,水上漂流-1,需要幫諸葛亮購買漂流用的泳衣嗎？
31102,水上漂流-2,漂流到了水流湍急的區域，諸葛亮好像因此有些害怕，要怎麼辦呢？
31103,水上漂流-3,看起來諸葛亮因為是否要下水玩耍而感到為難，怎麼辦呢？
31201,過山車-1,諸葛亮突然提出要去喂鴿子，要怎麼回復呢？
31202,過山車-2,要怎麼辦呢？
31203,過山車-3,需要購買紀念照嗎？
31301,碰碰車-1,怎麼選擇呢？
31302,碰碰車-2,要採用什麼樣的戰術呢？
31303,碰碰車-3,面對諸葛亮想要駕駛的請求，要怎麼辦呢？
31401,休息處-1,要選什麼樣的食物呢？
31402,休息處-2,怎麼辦呢？
31403,休息處-3,和諸葛亮的行蹤被學妹發現了，要怎麼做呢？
31501,釣魚比賽-1,還沒進入人群時就感受到了巨大衝力，要怎麼辦呢？
31502,釣魚比賽-2,由誰來參加垂釣遊戲呢？
31503,釣魚比賽-3,要怎麼安慰呢？
40001,奇遇-1,街邊店鋪門口出現了一道熟悉的身影。
40002,奇遇-2,以掃雅各正在售賣氣球。
40003,奇遇-3,街角的幾家商鋪正在進行試吃活動。
40004,奇遇-4,碰見了從未遇見過的岔路口。
40005,奇遇-5,在小花園的轉角處拾到了一本書。
40006,奇遇-6,偶然遇見了一隻小貓。
40007,奇遇-7,街邊的小販在賣各種各樣的獸耳髮卡。
40008,奇遇-8,桌上擺放著三盒便當。
40009,奇遇-9,張郃正在邀請你與她來一次牌局。
40010,奇遇-10,劇場舞臺上有人正在表演。
40011,奇遇-11,出門偶然遇到了一隻小狗。
40012,奇遇-12,想要為製作花籃選擇鮮花。
40013,奇遇-13,去野外燒烤卻忘記攜帶打火裝置。
40014,奇遇-14,書店老闆娘好像進了一批新貨。
40015,奇遇-15,時裝店正在展示這一季的新品。
40016,奇遇-16,在路上行走時突然覺得口渴。
40017,奇遇-17,想要透過打工獲得心動資金。
40018,奇遇-18,遊玩時發現肚子餓了，選哪一家餐廳呢？
40019,奇遇-19,被學妹邀請去看電影了，選擇什麼電影呢？
40020,奇遇-20,感覺生活習慣不夠好，於是去了街角的健身房。
40021,奇遇-21,因為擁有了大量資金，想要進行投資。
100001,修羅場-1,要邀請誰一起去喝咖啡呢？
100002,修羅場-2,要點一杯什麼咖啡呢？
100003,修羅場-3,要坐在誰的旁邊呢？
100004,修羅場-4,要和誰共撐一把傘呢？
100005,修羅場-5,要約誰一起去看電影呢？
100006,修羅場-6,要和誰坐在一起看電影呢？
100007,修羅場-7,要把鮮花送給哪位學妹呢？
100008,修羅場-8,要和誰一起補習呢？
100009,修羅場-9,要向水晶球詢問關於誰的緣分呢？
